prompt,hq1,hq2,mq1,lq1,lq2,lq3,lq4,lq5
"i need to quit these damn cigarettes already. but i am so scared of the withdrawal, i am at a loss for what to do.","well, given what you said earlier about drug companies and medications, i am assuming that a medication to help you with your withdrawal is probably not an option.","you know that cigarettes aren't great for you and you've started to think about what life after cigarettes might look like. if you could prepare for the symptoms of withdrawal, you might be ready to give quitting a try. ",you are worried about the side effects of quitting.,i'll prescribe you chantix for withdrawl.,have you thought about using meds to help with withdrawl symptoms?,you need to face the withdrawal head on. you'll never get better if you don't.,"try to ask help at competent people or try to be better in company, askin some friends to help you.",this starts to stop this addiction and know that it only depends on yourself.
"i have tried every diet under the sun. to be honest doc, i would love to lose weight but at this point i don't think i can do it. maybe i need one of those stomach staples.",you’ve put a lot of effort into trying to lose weight. you’d really like to lose weight but haven’t found the right program that works for you quite yet.,none of the diets you've tried have worked for you. you're starting to think that surgery might be helpful.,you don't think you can lose weight on your own.,"you won't lose weight with that attitude. looking at your food recall, i see several areas you can make changes without resorting to major surgery. ",have you tried counting calories and weighing your food?,what if we get you a dietitian that way you can speak to? they’re going to be able to come up with a plan that fits you specifically. woukd you be interested in that?,"no, you can do it, but this is something you might want.","you must first change your mindset, diet is not enough either, there must be physical exercises"
"i have no energy.  the thought of working out now is out of the question.  i used to bike and play tennis but that seems a lifetime ago.  i would love to feel alive again, but i am just so tired all the time.",getting back to regular physical activity is really appealing to you but also seems a bit out of reach. you’re excited to get back to a place where you feel invigorated again.,"you used to bike and play tennis but that seems a bit outside your reach right now. if you could find a way to be active that wasn't super draining, it might be something you'd try.",you frequently feel depleted and lack energy.,there are lots of exercises you can do that don't leave you feeling drained.,why do you think all exercise is draining? what about walking?,i would recommend taking walks outdoors. do easy things until you start feeling more energy.,maybe you're running low on vitamins. make an appointment with a doctor and do some tests to find out how your health is. this can help.,i would suggest walking at least 10 minutes a day and gradually building up from there.
i've tried the atkins diet and i lost a lot of weight. then gained it all back. then i tried the zone diet but felt really hungry all the time. i just don't know what to do. i’m at my wit’s end.,"you have put a lot of effort into losing weight but it has not paid off. you are starting to feel a bit desperate. diets don’t seem to work for you. you are looking for something different that might last.
","while you've had some short term success with some of the diets you've tried, you've yet to find something that will work for you over the long haul. ",you've tried a couple diets and they didn't work for you.,you could try eating healthy foods and avoiding unhealthy foods. then you don't have to follow a diet plan.,do you think you're actually ready to change?,"if you lost a lot of weight on the atkins diet, then that shows that you are capable of doing it. you just have to keep at it.",i will advice that you visit a dietician to help you determine the best form of diet that works for you and your body type.,follow the instructions of a doctor who specializes in the area and don't do things because you think it's best.
"i just hate to exercise. was never good at sports in school.   i know i need to lose weight, but i am not going to the gym. it just isn't going to happen.",sports and physical activity haven’t always come naturally to you. you’re starting to consider what it would take to lose a couple pounds but at this point going to the gym just isn’t an option for you.,you really dispise organized sports and gyms. you'd like to lose weight and might be able to be successful if you could other ways to be active.,going to the gym isn't an option.,"research shows weight loss is more successful with diet changes than increasing exercise, so let's focus on what you're eating.",why are you focused on exercise instead of what you eat?,perhaps you can take walks around your neighborhood because any amount of activity is better than nothing.,"the change itself depends on you, you have to want to change.",what about your eating habits? can we start there if exercise isn't something  you want to do right now?
"i start a diet every day but once i get hungry, i lose my discipline.",you really struggle to stick with your goals when you’re faced with temptation.,"if you could find a way to control your hunger throughout the day, you might be more successful. ",you really struggle with sticking to your weight loss goals when you're hungry.,i can prescribe you something to reduce hunger.,why can't you stick to your goals?,"discipline must be paramount, try to control yourself, it only depends on you.","my advice in this situation is that you should not think about food when you're on a diet. eat some cucumbers  and other diet food and keep yourself engaged in some activity . this way, you will remain motivated towards yours goal.",do you have structure in your plan? or any specific goals?
"of course, i would like to lose weight. but i hate diets. i've tried  them all. each time i feel deprived and  feel hungry. then i start to feel resentful.","you have put a lot of effort into losing weight but it has not paid off. you are starting to feel a bit desperate. diets don’t seem to work for you. you are looking for something different that might last
",you wish that things could be different. you're tired of being stuck in a never ending pattern of trying to lose weight without success.,you're feeling burned out.,"you need to focus on eating more fruits and vegetables, rather than thinking about some food as bad. ",are you sure you stick to the diet?,"there are plenty of tasty, healthy food out there. yu just have to seek them out.","you need to work on your mind first, this way it is easy for you to follow through on your diet plan. when you mind is outrightly made to diet, then the rest is easy.","don't be like that, just change your actions and you'll reap the rewards."
"i’ve done everything i’m supposed to do in this program, but it still hasn’t worked.   i’m still gaining weight. i haven’t lost a damn pound in months.",you’re frustrated that the program hasn’t worked out for you the way that you had hoped it would.,you're getting frustrated because it feels like you're doing everything you're supposed to be doing but the scale hasn't been moving recently.,you haven't been successful yet.,let's look over what you've done to see what you missed. you should be losing weight if you're actually following the program.,are you sure you're following the program correctly?,"change the strategy, but remember to stick to the letter and still not give up.",sometimes the progress made is not on the scale. how are you feeling? how is your strength? these are changes that are positive that you wouldnt see on a scale.,check that you are following the program exactly as you should and keep pushing in the end it will pay off.
i would do about anything to lose these 50lbs.  but dieting doesn't work for me. could you tell me what drugs or even surgery might help?,you’re starting to think about other options for weight loss besides dieting. you’re curious about medications or surgical options.,you're looking for advice for your weight loss because you're finding that dieting just isn't helping you.,you don't know what else to do.,you're not willing to do whatever it takes. you have to address your diet.,are you sure you've given up all unhealthy food?,eating less would be easier that any drug. it would also be healthier.,always see what an expert in the field indicates.,you need to speak to a doctor about this
i like fruit but i like sweets more. if it’s around i eat it but not if there is cake or cookies or ice cream. i guess i need to stop buying that crap.,"sweets can be very tempting for you. if you could find a way to keep less sweets in the house, you might be more likely to reach for fruit or other healthier snacks. ",you know that you need to start to think about your go-to treats a big differently if you want to be successful losing weight.,you like fruit but you struggle to pick fruit when there are sweets and treats around.,"yes, you have to stop buying sweets. if it's not around, then you can't eat it.",why do you keep buying sweets?,"it sound like you are on the right track, the key to not eating sweets is first and foremost not to buy them.",avoid buying or looking for sweets that are healthier for our health.,i think by not buying sweets that will help you to not eat them
"i only eat a few vegetables. corn, raw carrots, peas, and potatoes. not much into those slimy ones like okra, cooked peppers, and onions. ugh! they have to be crunchy, or i get grossed out.",you know your preferences and you’ve already found quite a few vegetables that you prefer.,"you have strong preferences when it comes to vegetables. if they're the right textures for your tastebuds, you don't really struggle getting in your servings each day. ",you don't like many vegetables.,maybe you would get more vegetables into your diet if you were willing to eat other textures besides crunchy.,have you tried other vegetables?,ok,eat more for health and don't taste good or bad.,it's good to have your favorites but it's important to expand your options.
"my wife does most of the cooking. but i do the shopping. if i buy vegetables, she will cook them.","you and your wife work as a team. if you stock up on healthy foods when you do the grocery shopping, then she’ll make sure that they end up in the meals that you both eat. ","you know that if you plan ahead and purchase vegetables for the week at the store, you'll be able to eat veggies at each meal all week. ",you and your wife has a pretty good arrangment going that works for you. you buy the vegetables at the store and she cooks them.,"since your wife will cook whatever you buy, then you have to add vegetables to your shopping list every time.",why don't you just buy more vegetables then?,that means that you need to be careful what you buy so that she can make healthy meals for both of you.,help her too it will be good for both of them.,"it's sounds like your spouse is very supporting, would she support you in other ways to become more healthy?"
"i buy fruit. but it sits in the bowl and rots. i hate having to throw out that rotten, mushy mess. it’s such a waste.","you’ve already figured out a way to get fruit into the house. now, if you could find a way to work that fruit into your daily snacks and meals, you wouldn’t end up having so much go to waste. ","on one hand, you know that buying fruit and having it on hand is important. on the other hand, you also know that if you buy too much fresh fruit it'll go to waste before you can eat it all. ",you really hate wasting food and struggle tossing uneaten food in the trash.,you need to find shelf stable fruits so they don't go bad before you can eat them.,why don't you buy canned instead?,"try to buy less fruit, it is better to buy again a bowl of fruit than to get rid of it.","eat them or give them to someone who needs them, never waste food.","it might be useful if we could talk through the thoughts you have when you see the fruit going rotten, and why you don't like to throw it out before it goes mushy."
"i’m on a tight budget and fresh fruit just costs so much.  vegetables are a little less expensive, but you have to cook them. fruit you can just eat.","your food budget prevents you from buying the fresh food you’d like. you’re frustrated that the healthy foods you’d like to purchase are outside your budget. if you could find a way to fit fresh fruit into your food budget, you’d be able to eat more servings a day.","sometimes you find that the cost of fruit prevents you from buying as much as you'd like. if you could find a way to decrease the cost, you'd be willing to buy and eat more. ",you find that fresh fruit is too expensive for your budget.,you can eat the heathier or more nutrient dense vegetables raw as well.,can't you cut out some of the sweets you buy to pay for the fruit?,invest in inexpensive fruits and vegetables that are good for your health.,i understand. have you tried couponing or applying for supplemental assistance?,you can get less expensive vegetables and fruits that could fit your budget.
"i live alone and don’t cook much. veggies take so much time and effort to prepare. so, when i go out to eat, which is 4-5 times a week, i try to order veggies.",you really put in a lot of effort when you eat out to make sure that you get in a couple servings of veggies.,"since you live alone, you find that cooking for one is difficult. you struggle with finding ways to prepare veggies at home. ",you tend to eat out most evenings but you try to make sure you order vegetables at each meal.,you could eat raw vegetables at home.,can't you just eat raw vegetables at home?,that's very good. i would recommend that you cook for yourself more though.,"take one day of the week and cut all the vegetables and then cook, then put them in the freezer, when you want to eat, just heat them up.",its not good for health for eating outside so please be calm and think about it you will find a answer
"my child cannot participate in the program because i work two jobs, my other kids are struggling in school. we are just too busy.",your chaotic schedule makes it hard to even consider adding something else to your plate.,"between your work schedule and the kids' schooling, it just doesn't seem feasible right now to enroll.",you're not interested right now.,"you can make time to get your child to this program, or you can spend more time taking them to multiple visits because they'll be sick and need extra medical care. ",don't you care about their health?,can your child participate online instead of onsite? does your child have a friend that is in the program? perhaps the friend's parents would take the child. i use to drive around other kids all the time.,"be patient, you are doing your part, things will naturally get better.","have you looked into community resources or to family to help with logistics, such as transportation, to the program?"
"we have done everything that we are supposed to do in this program, but it still hasn’t worked.   my daughter is still gaining weight.",you’ve really committed yourself to the program and you’ve put in a lot of effort to help your daughter with her weight. you’re feeling let down that so far the program hasn’t helped your daughter lose weight.,you're having a hard time understanding why your daughter is still gaining weight when you've both been putting in so much effort.,the program hasn't worked for your daughter.,you're likely missing something. either she's eating too much or not getting enough exericse.,are you sure you've done everything you can? has she given up all sugar sweetened beverages?,"perhaps you guys should go see a dietitian. see someone that can understand what’s going on with you guys, and give you advice that is perfect for you guys. it’s not gonna be a generalization it’s going to be exactly what will work for you guys in particular.","be patient, things don't change quickly.",i can see your frustration. have you spoken with her pediatrician about your concerns?
why bother? the other family in our house won’t put a tv timer on their tv and our kids just go to the living room to watch with them.,sharing living space and trying to set boundaries at the same time can seem nearly impossible when the other family isn’t on the same page.,finding a balanace between your family's rules and the other family's rules is a huge struggle.,you can't control what the other family does.,try talking to the other mom to see if you can agree on tv time.,have you tried telling your kids not to go into the living room?,see what is healthier and that is a more united family.,maybe you could discuss the tv timer with the other family and come to an agreement.,so control your kids. it's not their responsibility to limit what they do in their own time because of your kids
"the food at school breakfast and lunch are all red lights, so it is hard for her to follow the diet.","if you could find a way to get healthy food to your daughter at school, it would be something you might consider. ",your daughter has a hard time finding healthy options at school.,your daughter isn't given healthy food at school.,she can always grab fruit or vegetables. those are always available in schools.,what if you packed her a lunch?,"the school diet is passed by a nutritionist, so make an effort to start eating.",try bringing in your lunch from home.,maybe she can take her own breakfast that has some healthier foods.
"my husband won’t support the program, he wants whole milk because it is healthier and tastes better and wants our son to have it so he grows to be strong.","your husband feels strongly that whole milk is the way to go. if you could find a way to get your husband on board with 1% or skim milk, things might be a bit different. ",it sounds like you wish your husband was on board with the program. you think this could be a good fit for your son.,your husband doesn't support the program.,i can give you a handout to share with your husband that clearly shows why your son should not be drinking whole milk.,why can't you just buy what's healthier?,always fight for the best welfare of the child that is your child.,"drinking milk is good for health only and also give it your son to grow strong, but even more he may have to be support for the program",i would suggest laying out your idea in a way that he can understand it. maybe the two of you can have a pros/cons conversation about whole milk versus other types of milks?
"every time i bring up my daughter's weight with her, it leads to a fight. she tells me to get off her case. then my husband tells me to back off and let her be. “she’ll grow out of it”, he says. but i think it’s important to do something about it now, before it’s too late.",you feel trapped between you desire to help her and your husband telling you it is not a big problem.,you are a bit upset that your husband has not supported your efforts to help your daughter lose weight.,talking to your daughter about her weight causes a fight.,you can talk to her about physical activity instead of her weight. the weight is just a symptom.,"what happens if you talk to her about her nutrition, or what she eats?","you and your husband must come to an agreement, the education of the children belongs to both of you.","if your daughter's health is not seriously impacted, i think that your comments might do more harm than good. letting her look after herself might actually be quite productive.",be patient and try to make her realize that she had to consider it that which you said her was right. once she came to know her mistake by her thpought she will overcome it
"it breaks my heart to see her so heavy. i know what it’s like to be a big teenager. it was terrible for me. i want to bring it up but i don’t want to hurt her feelings. i tell her that she looks fine, but at the same time i know she is way too big for her age.",being overweight as a teen was horrible for you and you want to save your daughter from that suffering (or same fate).,you feel trapped because you want to help her address it but it is too upsetting for you both to even talk about,you don't like to see your daughter overweight.,you're hurting her health by not talking about it.,don't you wish someone had talked to you about your weight when you were a teen?,i think you should just be honest with her. let her know how you dealt with the weight gain and tell her you will support her.,i understand your concern for your daughter,"maybe you don't have to say anything at all, but instead suggest doing things like taking a walk with you, joining a sports team.  i also suggest we look at the diet in the home, how is she eating?"
"i can’t stand how much tv she watches. when i leave for work, she is watching talk shows. when she comes home from school more talk shows. i think she is frying her brain and wasting her talent. i don’t know what to do about it.  i wish i could get her to be more active or to be involved in something more positive.","you had great expectations for your daughter, but you see that slipping away. you think tv as a real waste for her. you feel you are letting her down by not getting her away from the tv.","you are sad that she might be losing out on bigger and better things because she wastes so much time watching tv
.
",you think your daughter watches too much tv.,"you could block her from turning on the tv, while you're at work. or turn off the internet if she'll just watch on her computer when the tv is off.",can't you just control her internet/cable access?,"if that's what she wants to do, then i wouldn't bother her. it's not that big of a deal.",have you tried suggesting some options? maybe try doing something together,in what ways do you want her to be more active or involved?
"my son’s problem is sweets. he loves candy, cake and ice cream. he won’t eat any regular food and i feel so bad that he is hungry that i usually give in and let him have junk food, just so he gets something into his system.","you and your son are having a battle about food, and he seems to be winning. you are disappointed in yourself that you give in to his demands. ","
you might have to learn to tolerate him being hungry in order to get him to eat some healthier foods.",your son won't eat the healthy foods you provide.,you need to keep sweets out of the house so they aren't available for him to eat.,why do you keep buying unhealthy food?,"change the food system, everything is a matter of learning.",developing a reward system would teach him he has to comply in order to get what he wants.,a little bit of that okay but not a steady diet of it so i would say limit it and when he gets hungry enough he will eat real food.
"there is no way that i can let my son leave food on his plate and throw food out. i wasn’t raised that way. i also don’t think kids need choice about how much they eat, kids are given too much power in my opinion already. i am tired of the constant battle we have at mealtimes and all the tricks we need to pull off to get him to eat something, but letting him leave the table hungry, and taking away french fries and hi-c are going to be very stressful.",you feel strongly that you should be the main decision maker in what and how much your son eats. on one hand you like to make the decision but on the other hand you’re aware that if he isn’t allowed any input it leads to battles at mealtime.,the way that you were raised around food rules impacts the way that you're trying to raise your son.,you don't like it when your son leaves food on his plate.,just take away the unhealthy food.,why not just only offer healthy foods?,"i understand what you’re saying about wasting food and how you grew up. however, you need to adjust your parenting styles. perhaps you and your child can work on agreeing that they eat some healthy foods as well as some of the things that they like.",lets look at your childhood and how you felt when you were forced to eat food you didn't want.  how did it make you feel?  are you carrying that same battle into your current family?,"i would slowly introduce new things to him that are healthy and tell him he doesn't have to finish it, but only take two or three bites and then he can have what he wants. this way, he tries a new food but doesn't waste it and also gets to feel rewarded."
"i eat at wendy’s a few times a week. it’s cheap, it’s fast, and it’s better than those other places. there’s a lot worse i could be eating. my parents don’t buy healthy foods, and i don’t have the money to buy them.","because there aren’t a lot of healthy foods in your house and money is tight, it makes it hard to eat better. so fast food is one of your only options. however, you care about your health and are starting to think about eating better than fast food.","ideally you would prefer not to be eating as much at fast food. you want to eat healthy foods but struggle figuring out how to make it happen since your parents don't buy fruits and vegetables when they grocery shop.  
",your parents don't buy healthy foods when they grocery shop.,"you know, wendy’s is no better than mcdonald’s, so you are not doing yourself any favors by eating there.  it’s also more expensive than you think. don’t blame your parents",why are you still getting fast food?,i would recommend exercising more until you can afford to buy healthier foods.,there's a lot of cheap and tasty things you can get at the grocery store to get more bang for your buck than wendy's. i know it's tasty but your body will thank you if you start meal prepping a better way.,"talk to your parents, and this will make everyone's diet more balanced."
i am so tired of my parents bugging me about my weight. they always comment on everything i eat. it is so annoying. i will deal with this my way.,"you don’t like the way your parents talk to you about your weight. they seem to be watching everything you eat, and you feel they are judging you. part of you is interested in perhaps doing something about your weight, but you want to do it on your own terms.","you don’t like being treated like a child. you’re growing up, you’re aware of your weight, and you’ll handle it when you’re ready. ",it upsets you when your parents comment on your weight.,"your parents love you, and want to help, and it sounds like they have good advice you should listen to.",what are your parents saying that you don't agree with?,"if what they say bothers you, then you probably do care about your weight than you think.","try to think they are doing this out of concern. they love you. but if you get to a point where you get discouraged, talk to them. i'm sure if they love you they will continue to support you only in another way.",have you considered that they are thinking of your health?
vaping isn’t nearly as bad as cigarettes. it doesn’t cause cancer. everyone does it. it’s no big deal.,"you don’t think vaping is as toxic to your body as cigarettes, so you don't think it's necessary for you to quit it.","since vaping doesn’t cause cancer, you’re not really sure why it’s so important not to do it. 
",you don't think vaping is a big deal.,vaping is just as toxic for your system as cigarettes so you should quit.,don't you know how bad it is for you?,"analyze the situation if you've been told by experts that it causes cancer, it might.",but it hasn't been around as long as cigarettes have. long term damage may be yet to surface.,"i would advise you to looks at the pros and cons of just vaping, and not compare it to smoking. try to objectively see how vaping benefits or does not benefit you."
"chewing is so much better than cigarettes. you can do it while you work. i know it isn’t great for me, but i need the little buzz to keep me alert.",you’ve heard that chewing tobacco isn’t great for you but the buzz you get from the nicotine helps you get through the day.,"if you could find something else to give you an afternoon boost, you might consider cutting back.",you know that chewing isn't good for you.,chewing is worse for you than cigraettes. the rush you get is short-term with long-term health effects. you should quit chewing.,do you coworkers know you're chewing?,"just the act of quitting smoking is already something very good and interesting, you will be able to evolve.",i think that this is a great start to overcoming your goal of quitting smoking. perhaps start by chewing the gum and then move on to doing so less frequently over time.,have you tried alternatives to chewing to keep you alert? there could be things that are good for you and also keep you alert.
i am just not going to give up my iqmik.  i already gave up cigarettes and alcohol.   we make it ourselves and we know what goes into it.  everyone wants to take away everything that helps me cope with my stress.  and sweetie i got lots of stress.,iqmik is the last crutch you have to deal with your stress and giving it up or cutting back is out of the question.,you’ve put a ton of effort into giving up cigarettes and alcohol. giving up iqmik would be next to impossible for you.,you're feeling very stressed.,you already gave up cigarettes and alcohol so you can give up iqmik too.,"if you gave up alcohol and cigarettes, why is it so hard to give this up too?",well i really don;t know what iqmik is but ultimately the decisions are yours. just try to make sure that you keep your use of such things to a moderate level. moderation is the key. a little bit won't hurt you.,"endorphin, a substance the body releases when we run or do some physical activity, much better than drugs.","have you thought of trying other, healthier ways to deal with stress?"
